marca,categoria
AMISA,No Marca
ADIDAS,Marca Estándar
ADOLFO DOMÍNGUEZ,Marca Buena
ARMANI,Grandes Marcas
ANNE KLEIN,No Marca
ALTRAMICHI,Marca Estándar
BAILEYS,Marca Buena
BALENCIAGA,Grandes Marcas
BERSKA,No Marca
ALVARO MORENO,Marca Estándar
BOSSI,Marca Buena
BIMBA Y LOLA,Grandes Marcas
BLANCO,No Marca
AMICHI,Marca Estándar
CALVIN KLEIN,Marca Buena
BULGARI,Grandes Marcas
C Y A,No Marca
AMITIÉ,Marca Estándar
CARAMELO,Marca Buena
BURBERRY,Grandes Marcas
CAIROC,No Marca
ANTES,Marca Estándar
CORTEFIELD,Marca Buena
CAROLINA HERRERA,Grandes Marcas
CANDA,No Marca
ASICS,Marca Estándar
COS,Marca Buena
CARTIER,Grandes Marcas
CAPUCCINI,No Marca
BANA REPULIC,Marca Estándar
DESIGUAL,Marca Buena
CHANEL,Grandes Marcas
CASA BLANCA,No Marca
BENETHON,Marca Estándar
DEVOTA Y LOMBA,Marca Buena
CUSTO,Grandes Marcas
CEDAR WOOD,No Marca
CALLAGHAN,Marca Estándar
DOCKERS,Marca Buena
DIOR,Grandes Marcas
D. CERO,No Marca
CLARKS,Marca Estándar
GANT,Marca Buena
DOLCE Y GABANNA,Grandes Marcas
DECATHLON,No Marca
CLOCHE,Marca Estándar
GEOX,Marca Buena
DONNA KARAN,Grandes Marcas
DECIMAS,No Marca
CLOCK HOUSE,Marca Estándar
GIVENCHI,Marca Buena
ELENA MIRÓ,Grandes Marcas
DODO,No Marca
CORTE INGLÉS,Marca Estándar
HACKET,Marca Buena
ESCADA,Grandes Marcas
DUNNES,No Marca
COUCHEL,Marca Estándar
HOLISTER,Marca Buena
ESCALA,Grandes Marcas
ÉLITE,No Marca
DUSTIN,Marca Estándar
HUGO BOSS,Marca Buena
FURLA,Grandes Marcas
EMILIO TUCCI,No Marca
EASY WEAR,Marca Estándar
LEE,Marca Buena
GIVENCHY,Grandes Marcas
ENCUENTRO,No Marca
ELOGY,Marca Estándar
LEVIS,Marca Buena
GUCCI,Grandes Marcas
ESMARA,No Marca
EMBLEMS,Marca Estándar
LIZ CLAIBORNE,Marca Buena
GUESS,Grandes Marcas
ETAM,No Marca
EVASSE,Marca Estándar
LOTTUSE,Marca Buena
HERMES,Grandes Marcas
FOREVER 21,No Marca
FILA,Marca Estándar
MAXIMO DUTTI,Marca Buena
KAREN MILLEN,Grandes Marcas
H Y M,No Marca
FLAMENCO,Marca Estándar
MILLEMILIA,Marca Buena
KENZO,Grandes Marcas
JASPER,No Marca
FLUCHOS,Marca Estándar
NAF-NAP,Marca Buena
LACOSTE,Grandes Marcas
KIABI,No Marca
FORMULA JOVEN,Marca Estándar
PEDRO DEL HIERRO,Marca Buena
LASERRE,Grandes Marcas
LAREDOUTTE,No Marca
GAP,Marca Estándar
PEPE JEANS,Marca Buena
LOEWE,Grandes Marcas
LEFTIES,No Marca
GOLDEN DAYS,Marca Estándar
PERTEGAZ,Marca Buena
LUIS VUTTON,Grandes Marcas
LFT,No Marca
HOLLISTER,Marca Estándar
PIERRE CARDIN,Marca Buena
MARINA RINALDI,Grandes Marcas
MA Y VARELA,No Marca
JACK JONES,Marca Estándar
PURIFICACIÓN GARCÍA,Marca Buena
MAX MARA,Grandes Marcas
MADE IN ITALY,No Marca
JOMA,Marca Estándar
ROBERTO TORRETA,Marca Buena
MICHAEL KORS,Grandes Marcas
MALAYA,No Marca
JUNCO Y ARENA,Marca Estándar
SIMORRA,Marca Buena
MIU MIU,Grandes Marcas
MERLETTI,No Marca
LLOYDS,Marca Estándar
TED BAKER,Marca Buena
MONTESINOS,Grandes Marcas
NEXT,No Marca
LUIJO,Marca Estándar
TINTORETTO,Marca Buena
MOSCHINO,Grandes Marcas
NOULAVER,No Marca
MAKARTHY,Marca Estándar
TOMMY HILFIGER,Marca Buena
PRADA,Grandes Marcas
PEPERCORN,No Marca
MANGO NIKE,Marca Estándar
VILA,Marca Buena
RALPH LAUREN,Grandes Marcas
PINKIE,No Marca
MARS SPENCERS,Marca Estándar
XX calidad,Marca Buena
ROBERTO VERINO,Grandes Marcas
PRECIO COLDA,No Marca
MAYORAL,Marca Estándar
ROGER,Grandes Marcas
PULL AND BEAR,No Marca
MOLLY BLACKER,Marca Estándar
ROLEX,Grandes Marcas
QUECHUA,No Marca
NATURA,Marca Estándar
ROSA CLARÁ,Grandes Marcas
SHANA,No Marca
NEW BALANCE,Marca Estándar
VALENTINO,Grandes Marcas
SILVER,No Marca
OCTOBER,Marca Estándar
VERSACE,Grandes Marcas
SIN MARCASA,No Marca
