Artículo,No Marca,Marca Estándar,Marca Buena,Grandes Marcas
ABRIGOS, de 10€ a 12€, de 13€ a 15€, de 16€ a 25€, Perchero 'Vintage y Grandes Marcas
AMERICANAS , de 7€ a 9€, de 10€ a 12€, de 13€ a 16€, Perchero 'Vintage y Grandes Marcas
BLUSAS, de 5€ a 6€, de 7€ a 8€, de 9€ a 12€, Perchero 'Vintage y Grandes Marcas
BOLSOS Y CARTERAS (NO DE PIEL), de 6€ a 8, de 9€ a 12€, de 13€ a 18€, Perchero 'Vintage y Grandes Marcas
BOLSOS Y CARTERAS DE PIEL,-,-, de 15€ a 30€, Perchero 'Vintage y Grandes Marcas
CAMISAS, de 5 a 6, de 7 a 8, de 9 a 12, Perchero 'Vintage y Grandes Marcas
CAMISETAS, de 4 a 5, de 6 a 7, de 8 a 10, Perchero 'Vintage y Grandes Marcas
CAZADORAS/CAMPERAS (NO DE PIEL), de 7 a 9, de 10 a 12, de 13 a 16, Perchero 'Vintage y Grandes Marcas
CAZADORAS/CAMPERAS DE PIEL,-,-, de 25 a 40, Perchero 'Vintage y Grandes Marcas
CHAQUETAS , de 7 a 9, de 10 a 12, de 13 a 16, Perchero 'Vintage y Grandes Marcas
CHAQUETONES, de 10 a 12, de 13 a 15, de 16 a 25, Perchero 'Vintage y Grandes Marcas
FALDAS, de 3 a 4, de 5 a 6, de 7 a 9, Perchero 'Vintage y Grandes Marcas
JERSEYS, de 6 a 7, de 8 a 9, de 10 a 12, Perchero 'Vintage y Grandes Marcas
NIÑOS (toda la ropa y zapatos), de 2 a 3, de 4 a 5, de 6 a 8, de 9 a 11
BEBÉS (toda la ropa y zapatos), de 2 a 3, de 4 a 5, de 6 a 8, de 9 a 11
PANTALONES (tallas 36 A 48), de 3 a 4, de 5 a 6, de 7 a 9, de 10 a 12
SUDADERAS, de 6 a 7, de 8 a 9, de 10 a 12,
TOPS, de 4 a 5, de 6 a 7, de 8 a 10, Perchero 'Vintage y Grandes Marcas
TRAJES MUJER precio del conjunto, de 7 a 8, de 9 a 11, de 12 a 16, Perchero 'Vintage y Grandes Marcas
TRAJES HOMBRE precio del conjunto, de 6 a 7, de 8 a 9, de 10 a 14,
VESTIDOS, de 6 a 7, de 8 a 11, de 12 a 16, Perchero 'Vintage y Grandes Marcas
VESTIDOS DE FIESTA, de 10 a 12, de 13 a 16, de 17 a 25, Perchero 'Vintage y Grandes Marcas
ZAPATOS, de 4 a 6, de 7 a 10, de 11 a 14, Perchero 'Vintage y Grandes Marcas
BOTAS, de 9 a 10, de 11 a 13, de 14 a 17, Perchero 'Vintage y Grandes Marcas
BISUTERÍAS ,2 €, ver vitrina,Consultar Inma/Isa,Consultar Inma/Isa
HOGAR, ver vitrina, ver vitrina,Consultar Inma/Isa,Consultar Inma/Isa
LIBROS COMUNES,De 1 a 2,De 3 a 5, de 7 a 9 (edición),Consultar Inma/Isa
BISUTERÍAS (DUDA O NO ORO - Plata - MARCAS BUENA O SUP.),Consultar Inma/Isa,Consultar Inma/Isa,Consultar Inma/Isa,Consultar Inma/Isa
SOMBREROS/GORROS,2 €,4 A 6,De 7 a 8,De 9 a 11
CORBATA,1 €,1 €,2 €,2
CINTURONES,2 €,2 €,De 3 a 4,Consultar Inma/Isa
